label,n_total,pct,n_removed,n_kept,imp_removed_frac
train,1026508,0.05,51326,975182,0.0
train,1026508,0.1,102651,923857,0.0
train,1026508,0.15,153977,872531,9.796e-05
train,1026508,0.2,205302,821206,0.00043924
train,1026508,0.25,256627,769881,0.00114594
train,1026508,0.3,307953,718555,0.00241779
train,1026508,0.4,410603,615905,0.00804669
train,1026508,0.5,513254,513254,0.02131031
train,1026508,0.6,615905,410603,0.04756433
train,1026508,0.66,677495,349013,0.07199461
train,1026508,0.68,698025,328483,0.0818898
train,1026508,0.7,718555,307953,0.09277459
train,1026508,0.8,821206,205302,0.16591936
train,1026508,0.9,923857,102651,0.29241861
train,1026508,0.95,975182,51326,0.40707672
truck864,864017,0.05,43201,820816,0.00257321
truck864,864017,0.1,86402,777615,0.00705367
truck864,864017,0.15,129603,734414,0.01268511
truck864,864017,0.2,172804,691213,0.019418
truck864,864017,0.25,216005,648012,0.02729726
truck864,864017,0.3,259205,604812,0.03641395
truck864,864017,0.4,345607,518410,0.05890409
truck864,864017,0.5,432009,432008,0.08838922
truck864,864017,0.6,518410,345607,0.12740023
truck864,864017,0.66,570251,293766,0.1571297
truck864,864017,0.68,587531,276486,0.16840532
truck864,864017,0.7,604812,259205,0.18048518
truck864,864017,0.8,691213,172804,0.25695148
truck864,864017,0.9,777615,86402,0.38292005
truck864,864017,0.95,820816,43201,0.49505861
