seed,arm,iteration,occurrence,psnr,ssim,lpips,l1,n_gauss,vram_mib,wall_s
0,control,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,1026508,2023,884
0,control,35000,0,22.17985687757793,0.8132754674083308,0.21002902600326034,0.05621396461011548,1026508,2023,884
0,prune,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,349013,1663,723
0,prune,30001,1,20.667571118003444,0.7594874893364153,0.26329536539943593,0.06536580720230152,349013,1663,723
0,prune,35000,0,22.07643413543701,0.801426362050207,0.2344332423649336,0.056685751696166235,349013,1663,723
1,control,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,1026508,2043,881
1,control,35000,0,22.11671891965364,0.8132319638603611,0.21017175991284218,0.056783085885016536,1026508,2043,881
1,prune,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,349013,1643,728
1,prune,30001,1,20.665303431059183,0.759366512298584,0.26343215609851633,0.06538346566651997,349013,1643,728
1,prune,35000,0,22.048626197011846,0.8014263887154428,0.23453045714842644,0.056963345869199225,349013,1643,728
2,control,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,1026508,2023,880
2,control,35000,0,22.226609230041504,0.8130740178258795,0.2103156647399852,0.05561345114715789,1026508,2023,880
2,prune,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,349013,1643,724
2,prune,30001,1,20.670808014116787,0.7595180288741463,0.26336251238459035,0.06534418326459432,349013,1643,724
2,prune,35000,0,22.133967499983935,0.801155055824079,0.234953325437872,0.05604398779963192,349013,1643,724
