arm,pct,seed,iteration,occurrence,psnr,ssim,lpips,l1,n_gauss,vram_nvml_mib,vram_alloc_mib,wall_s
control,0.50,0,30001,0,25.113122522830963,0.8772367369383574,0.1516651976853609,0.03105511178728193,864017,1923,1691.7,959
control,0.50,0,35000,0,25.172231793403625,0.8780507110059261,0.15014223707839847,0.030761215777602047,864017,1923,1691.7,959
control,0.50,1,30001,0,25.113122522830963,0.8772367369383574,0.1516651976853609,0.03105511178728193,864017,1903,1691.7,998
control,0.50,1,35000,0,25.159246027469635,0.8780203629285097,0.1503166190814227,0.03097134770359844,864017,1903,1691.7,998
control,0.50,2,30001,0,25.113122522830963,0.8772367369383574,0.1516651976853609,0.03105511178728193,864017,1923,1691.7,937
control,0.50,2,35000,0,25.15029501914978,0.8775974530726671,0.15043944702483714,0.0309872206998989,864017,1923,1691.7,937
prune,0.50,0,30001,0,25.113122522830963,0.8772367369383574,0.1516651976853609,0.03105511178728193,432008,1583,1404.9,848
prune,0.50,0,30001,1,22.01789277791977,0.8062061741948128,0.2175222118385136,0.04292423714650795,432008,1583,1404.9,848
prune,0.50,0,35000,0,24.87178122997284,0.8665032163262367,0.17416174849495292,0.03199625218985602,432008,1583,1404.9,848
prune,0.50,1,30001,0,25.113122522830963,0.8772367369383574,0.1516651976853609,0.03105511178728193,432008,1583,1404.9,839
prune,0.50,1,30001,1,22.01810586452484,0.8061677534133196,0.21753419935703278,0.04293541912920773,432008,1583,1404.9,839
prune,0.50,1,35000,0,24.867225408554077,0.8665816020220518,0.17424240801483393,0.032170891761779785,432008,1583,1404.9,839
prune,0.50,2,30001,0,25.113122522830963,0.8772367369383574,0.1516651976853609,0.03105511178728193,432008,1583,1404.9,802
prune,0.50,2,30001,1,22.018216133117676,0.8062916379421949,0.21751201339066029,0.042929866700433195,432008,1583,1404.9,802
prune,0.50,2,35000,0,24.85897010564804,0.8661936651915312,0.1743384818546474,0.03213300806237385,432008,1583,1404.9,802
